chemlb_id,smiles,pchembl
CHEMBL105686,CCOc1cc(I)ccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.62
CHEMBL131357,Cc1ccc(OCCNCCCOc2ccc(F)cc2)cc1,9.02
CHEMBL105234,CCCc1ccccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.50
CHEMBL132884,Clc1ccc(OCCNCCCOc2ccccc2)cc1,9.28
CHEMBL104485,COc1ccccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.50
CHEMBL104216,CCOc1cc(C#N)ccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.40
CHEMBL131299,Cc1ccc(OCCCNCCOc2ccccc2)cc1,8.57
CHEMBL430658,COc1ccc([N+](=O)[O-])cc1OCC1CN(Cc2ccc(Cl)cc2)CCCO1,6.40
CHEMBL104873,COc1ccc([N+](=O)[O-])cc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.64
CHEMBL104291,COc1cc(I)ccc1OCC1CN(Cc2ccccc2)CCO1,6.37
CHEMBL321701,COCCOc1ccccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.28
CHEMBL129534,Clc1cccc(OCCNCCCOc2ccccc2)c1,9.51
CHEMBL130370,Cc1ccc(OCCCNCCOc2ccc(C)cc2)cc1,7.96
CHEMBL104089,COc1ccc(F)cc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.52
CHEMBL107068,CC(=O)c1ccc(Cl)cc1OCC1CN(Cc2ccc(Cl)cc2)CCCO1,8.26
CHEMBL130347,Clc1ccc(SCCNCCCOc2ccccc2)cc1,7.48
CHEMBL325789,COc1ccc(Cl)cc1NCC1CN(Cc2ccc(Cl)cc2)CCO1,8.35
CHEMBL129927,Cc1ccc(OCCNCCCOc2ccccc2)cc1C,9.46
CHEMBL320071,COc1ccccc1/C=C/C1CN(Cc2ccc(Cl)cc2)CCO1,6.70
CHEMBL128232,Cc1cccc(OCCNCCCOc2ccccc2)c1,9.34
CHEMBL334545,Cc1ccc(OCCNCCCOc2ccccc2C)cc1,8.96
CHEMBL132455,O=[N+]([O-])c1ccc(OCCNCCCOc2ccccc2)cc1,8.36
CHEMBL106599,CCOc1ccccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.89
CHEMBL435598,Cc1ccc(OCCNCCCOc2cccc(C)c2)cc1,8.92
CHEMBL2112466,CCCNC(=O)c1cc(C)c(OCC2CN(Cc3ccc(Cl)cc3)CCO2)cc1Cl,6.82
CHEMBL106665,COc1ccccc1CCC1CN(Cc2ccc(Cl)cc2)CCO1,7.54
CHEMBL104431,COc1ccccc1OCC1CN(Cc2ccc(Cl)c(Cl)c2)CCO1,7.50
CHEMBL421403,CCOc1cc(Cl)ccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,7.89
CHEMBL22892,Oc1ccc(OCCNCCCOc2ccccc2)cc1,8.51
CHEMBL334989,Cc1ccc(CCCNCCCOc2ccccc2)cc1,8.33
CHEMBL105894,CCOc1ccccc1OCC1CN(Cc2ccc(Cl)cc2Cl)CCO1,6.54
CHEMBL105836,COc1ccc(C(F)(F)F)cc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,6.60
CHEMBL131396,Clc1ccccc1OCCNCCCOc1ccccc1,8.36
CHEMBL337627,Clc1ccc(OCCNCCCSc2ccccc2)cc1,8.85
CHEMBL105312,COc1ccccc1OCC1CN(Cc2cccc(Cl)c2)CCO1,6.19
CHEMBL128524,c1ccc(OCCCNCCOc2ccccc2)cc1,8.70
CHEMBL104099,COc1cc(Cl)ccc1OC[C@H]1CN(Cc2ccc(Cl)cc2)CCO1,5.80
CHEMBL130402,Cc1ccc(OCCNCCCSc2ccccc2)cc1,9.10
CHEMBL104307,Clc1ccc(CN2CCOC(COc3ccc(Cl)c4cccnc34)C2)cc1,7.40
CHEMBL104378,COc1ccccc1SCC1CN(Cc2ccc(Cl)cc2)CCO1,7.21
CHEMBL344602,N#Cc1ccc2cc(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)[nH]c2c1,8.05
CHEMBL108531,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,6.64
CHEMBL140258,N#Cc1ccc2cc(CN3CCN(c4ccccc4Cl)CC3)[nH]c2c1,8.47
CHEMBL1204116,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,8.05
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.80
CHEMBL344270,N#Cc1ccc2[nH]cc(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)c2c1,7.66
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.77
CHEMBL1203260,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccn3)CC2)cc1,7.02
CHEMBL1202222,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,7.52
CHEMBL2092961,Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,8.15
